"PC1" "PC2" "PC3" "Population" "Superpopulation"
"HG00096" -39.5888671188765 95.2109984664247 19.4922371250127 "GBR" "EUR"
"HG00097" -39.5605240901052 94.8363237043302 19.1331317029928 "GBR" "EUR"
"HG00099" -41.4949632507775 94.1097774395769 21.6306336850165 "GBR" "EUR"
"HG00100" -38.5532677073226 95.1441243707102 21.0400025824046 "GBR" "EUR"
"HG00101" -39.2456842320194 93.7674342301881 21.7362733137443 "GBR" "EUR"
"HG00102" -43.0583897645486 94.9189694233917 20.9430045890045 "GBR" "EUR"
"HG00103" -39.6732888597057 94.0210287177903 19.7993306231321 "GBR" "EUR"
"HG00105" -40.001688739671 92.9575389030169 20.6111182588474 "GBR" "EUR"
"HG00106" -42.4516655605124 94.0654329027645 17.9542810431247 "GBR" "EUR"
"HG00107" -42.0386310969198 93.9351211865615 20.5857277315961 "GBR" "EUR"
"HG00108" -39.1757743205459 94.6511113775056 21.1895466686939 "GBR" "EUR"
"HG00109" -40.8790345397467 93.8907925541193 20.4403408048534 "GBR" "EUR"
"HG00110" -41.24598918079 93.7319147870407 18.6717603386427 "GBR" "EUR"
"HG00111" -40.5247886060923 94.6617228158299 18.9016584033069 "GBR" "EUR"
"HG00112" -41.476507695522 95.0338775809235 19.1714578023581 "GBR" "EUR"
"HG00113" -40.1014690032741 94.5006577617588 19.8730190897801 "GBR" "EUR"
"HG00114" -40.0953430239941 94.3163312509484 19.941684985707 "GBR" "EUR"
"HG00115" -39.2362330249948 95.133963034726 19.5443607335425 "GBR" "EUR"
"HG00116" -39.9914453845263 97.264440288282 20.6559382796858 "GBR" "EUR"
"HG00117" -41.2751666187966 94.7084850665137 20.157464218217 "GBR" "EUR"
"HG00118" -40.973140695558 94.8137954951328 20.5347939385213 "GBR" "EUR"
"HG00119" -39.5040906150484 94.0928843031562 19.7055516673922 "GBR" "EUR"
"HG00120" -39.4370872065142 95.7721816799758 19.7891918353423 "GBR" "EUR"
"HG00121" -40.1664872712483 95.424344622575 19.2398842332089 "GBR" "EUR"
"HG00122" -40.5253327450331 95.7987424357369 22.6353110448918 "GBR" "EUR"
"HG00123" -39.4277556895986 95.3054967732205 19.2745006284458 "GBR" "EUR"
"HG00125" -40.2067166834066 94.4964431368118 22.1401679970206 "GBR" "EUR"
"HG00126" -39.0025493370303 97.7107035962557 19.4108872817846 "GBR" "EUR"
"HG00127" -40.5023365646567 96.1266893571934 18.5403793612386 "GBR" "EUR"
"HG00128" -39.0506702692341 96.4953596468337 19.5283085031211 "GBR" "EUR"
"HG00129" -41.8239868289063 95.0249215641711 21.3628206139167 "GBR" "EUR"
"HG00130" -38.6422815980615 95.7879213037053 18.9744035938313 "GBR" "EUR"
"HG00131" -39.0482151882794 93.5885194002211 20.2639850321784 "GBR" "EUR"
"HG00132" -38.8414391854081 95.0716499093347 17.988342684088 "GBR" "EUR"
"HG00133" -38.9857980461932 95.5691818556422 18.8768073281464 "GBR" "EUR"
"HG00136" -39.9809120697523 94.1952752052351 19.915868605523 "GBR" "EUR"
"HG00137" -39.8357334729891 96.7014542217127 18.9040113520363 "GBR" "EUR"
"HG00138" -38.7769372187138 94.690008971888 19.6019396537946 "GBR" "EUR"
"HG00139" -39.5392560897328 96.0397963719902 21.3983425925044 "GBR" "EUR"
"HG00140" -40.165914689328 95.0456343917399 19.5360239509386 "GBR" "EUR"
"HG00141" -41.4395961509918 97.904670295524 21.488632970156 "GBR" "EUR"
"HG00142" -41.3855564467314 97.1477354445179 17.3844869693154 "GBR" "EUR"
"HG00143" -37.930732307774 95.9349414235063 18.4896811187839 "GBR" "EUR"
"HG00145" -41.1067134902748 94.0061846773484 19.7868046363413 "GBR" "EUR"
"HG00146" -41.9053369682565 95.574134977072 21.0564233668575 "GBR" "EUR"
"HG00148" -39.8142327400174 95.0723861279068 19.5894448578147 "GBR" "EUR"
"HG00149" -38.2166326018883 96.7448720816415 23.1839939281548 "GBR" "EUR"
"HG00150" -40.7395985796058 95.5355416567991 20.9069186610797 "GBR" "EUR"
"HG00151" -40.2133958876821 95.051623977969 20.9838097080424 "GBR" "EUR"
"HG00154" -38.8809441896604 96.0731876906242 20.4858645879424 "GBR" "EUR"
"HG00155" -40.5348416671748 93.043543705965 19.2130439037791 "GBR" "EUR"
"HG00157" -39.3833820563512 98.1058158624479 18.9852222077409 "GBR" "EUR"
"HG00158" -39.8132222104123 94.2731602310843 21.1586318588366 "GBR" "EUR"
"HG00159" -39.6038193685077 95.3283626429443 20.8049960770173 "GBR" "EUR"
"HG00160" -40.4282935845466 95.0777018489313 21.3421772653148 "GBR" "EUR"
"HG00171" -47.9563214862648 81.8472878560261 23.5183376676838 "FIN" "EUR"
"HG00173" -47.9051500591152 81.2749747852641 24.3173629878316 "FIN" "EUR"
"HG00174" -43.7555329948604 85.875923442119 25.398733974139 "FIN" "EUR"
"HG00176" -45.9747795916532 80.7964715133568 23.9834072518369 "FIN" "EUR"
"HG00177" -47.0691398709146 77.9985303902287 22.2952437698004 "FIN" "EUR"
"HG00178" -47.0954189231119 81.5766587500274 21.5934620425813 "FIN" "EUR"
"HG00179" -44.6462992901503 79.6270045741346 22.0826636439963 "FIN" "EUR"
"HG00180" -47.356065573452 81.1638021633677 21.1198597519911 "FIN" "EUR"
"HG00181" -40.759618263647 82.8280897911909 19.127000858125 "FIN" "EUR"
"HG00182" -45.6862275225689 78.9278603837982 24.6522607645348 "FIN" "EUR"
"HG00183" -45.6195781243985 81.254795917114 19.5320321875768 "FIN" "EUR"
"HG00185" -46.3875138934664 78.8911472045055 21.9261503128624 "FIN" "EUR"
"HG00186" -46.0295181268199 82.0366225473345 24.2524824274033 "FIN" "EUR"
"HG00187" -46.2019364964507 77.7774879554539 24.9266631104531 "FIN" "EUR"
"HG00188" -45.6430797842483 84.5596734812345 22.1175597737407 "FIN" "EUR"
"HG00189" -44.4276275455859 79.0208272281404 22.4339088662779 "FIN" "EUR"
"HG00190" -44.5390336127134 82.5900708087712 21.3348671360847 "FIN" "EUR"
"HG00231" -39.1204286232781 93.3506140441982 20.9678782334418 "GBR" "EUR"
"HG00232" -40.6007490206504 96.4520898104232 18.5652357965204 "GBR" "EUR"
"HG00233" -38.0146684845486 96.522983198089 20.3202354046339 "GBR" "EUR"
"HG00234" -39.893381708812 94.7939996580221 19.1845371740339 "GBR" "EUR"
"HG00235" -40.2678701547765 95.2259757646303 19.9632338411851 "GBR" "EUR"
"HG00236" -38.7838568717679 94.5126196798299 22.2932164633463 "GBR" "EUR"
"HG00237" -38.1055123630955 94.9162349587183 19.3219403022922 "GBR" "EUR"
"HG00238" -39.9915056344514 94.6386060054021 18.9971039293958 "GBR" "EUR"
"HG00239" -37.8413631091116 97.0496621557374 20.7341220208597 "GBR" "EUR"
"HG00240" -39.8154207681423 95.2634170803102 19.8075480008071 "GBR" "EUR"
"HG00242" -38.7766786958806 94.642302260246 20.9406237761047 "GBR" "EUR"
"HG00243" -40.266901388981 95.7288972303235 18.6075007821587 "GBR" "EUR"
"HG00244" -39.1229391910001 93.6040721318882 20.5561481594352 "GBR" "EUR"
"HG00245" -39.1579896499077 95.2988723327177 19.3373140021435 "GBR" "EUR"
"HG00246" -39.1951128562244 94.2941180193136 19.2815450796062 "GBR" "EUR"
"HG00250" -38.9877720471292 95.6293495028182 18.6646299596025 "GBR" "EUR"
"HG00251" -40.0054857122414 95.7692754101064 19.3308753683942 "GBR" "EUR"
"HG00252" -40.7027254460944 93.4808570493354 19.5458396958017 "GBR" "EUR"
"HG00253" -39.2072701240913 95.2648531320426 20.2343984627191 "GBR" "EUR"
"HG00254" -39.5322443669909 94.7583861232719 18.9657656209312 "GBR" "EUR"
"HG00255" -39.7636452133668 96.1661923530726 21.3717408399062 "GBR" "EUR"
"HG00256" -39.9600940200909 96.0039147665169 19.1182887796226 "GBR" "EUR"
"HG00257" -38.1089890266434 95.7345201379865 20.5484719113909 "GBR" "EUR"
"HG00258" -40.4310766817367 95.8411858085917 22.6461197401113 "GBR" "EUR"
"HG00259" -40.2982506920457 96.4218687268405 20.5146464542615 "GBR" "EUR"
"HG00260" -39.7090816204275 95.9634054284145 21.2321686255557 "GBR" "EUR"
"HG00261" -40.2618165442545 94.9758467168916 21.5043178590892 "GBR" "EUR"
"HG00262" -41.2952075605459 97.3973389383875 18.0964692362713 "GBR" "EUR"
"HG00263" -40.2386931690223 96.9316315196466 19.2065259847399 "GBR" "EUR"
"HG00264" -39.9726617236791 94.3429239498121 21.5983513173327 "GBR" "EUR"
"HG00265" -41.6055725840936 96.1577282066021 19.8314336568474 "GBR" "EUR"
"HG00266" -43.6112518708656 82.122091495972 22.3384307643412 "FIN" "EUR"
"HG00267" -46.2260874189044 79.7245175032869 20.8479487472458 "FIN" "EUR"
"HG00268" -44.5114692440373 83.2700156491092 23.0822877517369 "FIN" "EUR"
"HG00269" -44.9171911542988 82.1741451569275 22.0495547587981 "FIN" "EUR"
"HG00271" -47.3362812634585 78.4305579805488 22.3130867130931 "FIN" "EUR"
"HG00272" -46.9998938501904 76.8226276505121 21.5255427958334 "FIN" "EUR"
"HG00273" -45.2489448897225 81.5195518757649 24.2519477340099 "FIN" "EUR"
"HG00274" -45.9971256534992 84.876269020825 26.0456914896846 "FIN" "EUR"
"HG00275" -43.5967193332743 83.9711108645583 22.1986097436273 "FIN" "EUR"
"HG00276" -43.3971769478929 81.0523527494135 23.4785944636387 "FIN" "EUR"
"HG00277" -45.971743328628 86.3877185110747 22.2180348933179 "FIN" "EUR"
"HG00278" -45.9127959699748 80.4507409994031 20.8318808999704 "FIN" "EUR"
"HG00280" -45.6267174145138 83.2912030930709 21.9982336880242 "FIN" "EUR"
"HG00281" -47.3531194625824 84.183679916306 23.1881278621151 "FIN" "EUR"
"HG00282" -46.7389428497668 80.6217547205589 20.6584668519949 "FIN" "EUR"
"HG00284" -46.4445916307589 81.5063558004136 21.0761746271224 "FIN" "EUR"
"HG00285" -46.1067407832737 79.5011811391975 23.0836302675594 "FIN" "EUR"
"HG00288" -46.5134098503771 83.737958972308 19.8539815797187 "FIN" "EUR"
"HG00290" -47.3937112846518 78.9395602330879 20.1488573590064 "FIN" "EUR"
"HG00304" -45.432779395594 82.3168580469243 23.5314159418062 "FIN" "EUR"
"HG00306" -45.4346204772458 86.0256315621609 19.9856522216134 "FIN" "EUR"
"HG00308" -44.0153866808298 78.5060784862927 24.2752750737949 "FIN" "EUR"
"HG00309" -45.1659162286042 79.724063246644 24.3262102321404 "FIN" "EUR"
"HG00310" -44.5608571356028 85.155380380092 21.9018323134653 "FIN" "EUR"
"HG00311" -44.3529863826294 87.3821411799846 24.0003824797565 "FIN" "EUR"
"HG00313" -45.6930387577229 79.6707397301532 24.4021912265618 "FIN" "EUR"
"HG00315" -47.3103103556164 81.6796298927025 24.5468163948254 "FIN" "EUR"
"HG00318" -45.0658473835784 84.2035363958286 21.7124983359607 "FIN" "EUR"
"HG00319" -45.268877977137 80.9966548263529 20.7581598669767 "FIN" "EUR"
